Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Steps (average per min),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion)
2018-05-21T08:00:00.000Z,2,56,3360,0.118279751,0,1,37.2,0.65,0,0.35,0
2018-05-21T09:00:00.000Z,2,57,3420,0.048664,0,1,15.61666667,0.95,0.016666667,0.033333333,0
2018-05-21T10:00:00.000Z,2,58,3480,0.084255584,0,1,26.98333333,0.666666667,0.116666667,0.183333333,0.033333333
2018-05-21T11:00:00.000Z,2,59,3540,0.030397233,0,1,10.51666667,0.916666667,0.033333333,0.05,0
2018-05-21T12:00:00.000Z,2,60,3600,0.070988966,0,1,23.88333333,0.75,0.05,0.2,0
2018-05-21T13:00:00.000Z,2,61,3660,0.070536834,0,1,25.58333333,0.8,0.1,0.1,0
2018-05-21T14:00:00.000Z,2,62,3720,0.05799415,0,1,18.81666667,0.8,0.033333333,0.166666667,0
2018-05-21T15:00:00.000Z,2,63,3780,0.028573767,0,1,7.066666667,0.933333333,0.033333333,0.033333333,0
2018-05-21T16:00:00.000Z,2,64,3840,0.0442026,0,1,14.55,0.8,0.083333333,0.116666667,0
2018-05-21T17:00:00.000Z,2,65,3900,0.026232783,0,1,8.4,0.933333333,0.033333333,0.033333333,0
2018-05-21T18:00:00.000Z,2,66,3960,0.040864717,0,1,10.75,0.833333333,0.1,0.066666667,0
2018-05-21T19:00:00.000Z,2,67,4020,0.015434667,0,1,3.9,0.983333333,0.016666667,0,0
2018-05-21T20:00:00.000Z,2,68,4080,0.0143943,0,1,3.683333333,1,0,0,0
2018-05-21T21:00:00.000Z,2,69,4140,0.050174517,0,1,16.56666667,0.816666667,0.1,0.083333333,0
2018-05-21T22:00:00.000Z,2,70,4200,0.01035685,0.540983607,1,1.95,1,0,0,0
2018-05-21T23:00:00.000Z,2,71,4260,0.003535717,0.360655738,1,0.283333333,1,0,0,0
2018-06-22T00:00:00.000Z,3,72,4320,0.005226383,0.475409836,1,0.916666667,1,0,0,0
2018-06-22T01:00:00.000Z,3,73,4380,0.003932317,0.6,1,0.266666667,1,0,0,0
2018-06-22T02:00:00.000Z,3,74,4440,0.009009317,0.360655738,1,2.283333333,0.983333333,0.016666667,0,0
2018-06-22T06:00:00.000Z,3,75,4500,0.005862717,0.467741935,1,0.866666667,1,0,0,0
2018-06-22T04:00:00.000Z,3,76,4560,0.004852783,0.467741935,1,0.6,1,0,0,0
2018-06-22T05:00:00.000Z,3,77,4620,0.016384683,0.016393443,1,4.516666667,0.983333333,0.016666667,0,0
2018-06-22T06:00:00.000Z,3,78,4680,0.066854467,0,1,24.93333333,0.783333333,0.083333333,0.133333333,0
2018-06-22T07:00:00.000Z,3,79,4740,0.135823317,0,1,41.6,0.583333333,0.066666667,0.283333333,0.066666667
2018-06-22T08:00:00.000Z,3,80,4800,0.037135317,0,1,11.35,0.933333333,0,0.066666667,0
2018-06-22T09:00:00.000Z,3,81,4860,0.083642034,0,1,33,0.616666667,0.066666667,0.316666667,0
